team1_points,team2_points,period,clock_minutes,clock_seconds,action_team,action_player_number,action_player_name,action_description,assist_player,shot_value,shot_outcome,seconds_remaining_period,seconds_remaining_game,pbp-team1_1,pbp-team1_2,pbp-team1_3,pbp-team1_4,pbp-team1_5,pbp-team2_1,pbp-team2_2,pbp-team2_3,pbp-team2_4,pbp-team2_5,game_id
NA,NA,1,9,58,pbp-team1,15,Joshua Symonette,jump ball - won,NA,NA,NA,598,2398,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,58,pbp-team2,12,Robert Jones,jump ball - lost,NA,NA,NA,598,2398,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,35,pbp-team1,10,Arlington Brown,Turnover - ball handling,NA,NA,NA,575,2375,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,35,pbp-team2,3,Tamin Lipsey,Steal,NA,NA,NA,575,2375,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,17,pbp-team2,0,Tre King,2pt jump shot missed,NA,2,1,557,2357,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,8,pbp-team1,10,Arlington Brown,Defensive rebound,NA,NA,NA,548,2348,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,5,pbp-team2,NA,NA,Jump ball - held ball,NA,NA,NA,545,2345,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,5,pbp-team1,15,Joshua Symonette,Turnover - ball handling,NA,NA,NA,545,2345,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,9,5,pbp-team2,4,Demarion Watson,Steal,NA,NA,NA,545,2345,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,8,52,pbp-team2,0,Tre King,Personal foul,NA,NA,NA,532,2332,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,8,52,pbp-team1,15,Joshua Symonette,Foul drawn,NA,NA,NA,532,2332,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,8,40,pbp-team1,5,Davito Mcintosh,Turnover - bad pass,NA,NA,NA,520,2320,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
NA,NA,1,8,40,pbp-team2,3,Tamin Lipsey,Steal,NA,NA,NA,520,2320,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,2,1,8,35,pbp-team2,10,Keshon Gilbert,2pt jump shot made IOWA STATE UNIVERSITY - lead by 2,NA,2,1,515,2315,Arlington Brown,Davito Mcintosh,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,2,1,8,13,pbp-team2,10,Keshon Gilbert,Personal foul,NA,NA,NA,493,2293,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,2,1,8,13,pbp-team1,2,Emmanuel Alexander,Foul drawn,NA,NA,NA,493,2293,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,2,1,8,13,pbp-team1,2,Emmanuel Alexander,Turnover - bad pass,NA,NA,NA,493,2293,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,2,1,8,13,pbp-team2,3,Tamin Lipsey,Steal,NA,NA,NA,493,2293,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,4,1,8,13,pbp-team2,0,Tre King,2pt jump shot made IOWA STATE UNIVERSITY - lead by 4,NA,2,1,493,2293,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,4,1,8,12,pbp-team2,4,Demarion Watson,Personal foul,NA,NA,NA,492,2292,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,4,1,8,12,pbp-team1,15,Joshua Symonette,Foul drawn,NA,NA,NA,492,2292,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,4,1,7,52,pbp-team1,NA,NA,Timeout - full,NA,NA,NA,472,2272,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,4,1,7,52,pbp-team1,10,Arlington Brown,Turnover - bad pass,NA,NA,NA,472,2272,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,4,1,7,52,pbp-team2,4,Demarion Watson,Steal,NA,NA,NA,472,2272,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,6,1,7,52,pbp-team2,0,Tre King,2pt jump shot made IOWA STATE UNIVERSITY - lead by 6,NA,2,1,472,2272,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,6,1,7,52,pbp-team1,19,Justin Burrows,Turnover - bad pass,NA,NA,NA,472,2272,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,6,1,7,52,pbp-team2,4,Demarion Watson,Steal,NA,NA,NA,472,2272,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,8,1,7,52,pbp-team2,4,Demarion Watson,2pt dunk made IOWA STATE UNIVERSITY - lead by 8,NA,2,1,472,2272,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,8,1,7,23,pbp-team1,10,Arlington Brown,2pt jump shot missed,NA,2,1,443,2243,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,8,1,7,20,pbp-team2,10,Keshon Gilbert,Defensive rebound,NA,NA,NA,440,2240,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,10,1,7,14,pbp-team2,3,Tamin Lipsey,2pt jump shot made IOWA STATE UNIVERSITY - lead by 10,NA,2,1,434,2234,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,10,1,6,57,pbp-team1,10,Arlington Brown,3pt jump shot missed,NA,3,1,417,2217,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,10,1,6,53,pbp-team2,0,Tre King,Defensive rebound,NA,NA,NA,413,2213,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,12,1,6,47,pbp-team2,0,Tre King,2pt driving layup made IOWA STATE UNIVERSITY - lead by 12,NA,2,1,407,2207,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,12,1,6,18,pbp-team1,NA,NA,Turnover - 24 seconds,NA,NA,NA,378,2178,Arlington Brown,Emmanuel Alexander,Joshua Symonette,Justin Burrows,Randon Swaby,Demarion Watson,Keshon Gilbert,Robert Jones,Tamin Lipsey,Tre King,game_1
0,15,1,6,4,pbp-team2,5,Curtis Jones,3pt jump shot made IOWA STATE UNIVERSITY - lead by 15,Jackson Paveletzke,3,1,364,2164,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
0,15,1,5,46,pbp-team1,15,Joshua Symonette,3pt jump shot missed,NA,3,1,346,2146,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
0,15,1,5,39,pbp-team1,30,Michael Johnson,Offensive rebound,NA,NA,NA,339,2139,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
0,15,1,5,39,pbp-team2,10,Keshon Gilbert,Personal foul,NA,NA,NA,339,2139,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
0,15,1,5,39,pbp-team1,2,Emmanuel Alexander,Foul drawn,NA,NA,NA,339,2139,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
0,15,1,5,39,pbp-team1,2,Emmanuel Alexander,Free throw 1 of 2 missed,NA,NA,1,339,2139,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
0,15,1,5,39,pbp-team1,NA,NA,Offensive Dead Ball Rebound,NA,NA,NA,339,2139,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
1,15,1,5,39,pbp-team1,2,Emmanuel Alexander,Free throw 2 of 2 made LUCAYANS BASKETBALL - trail by 14,NA,NA,1,339,2139,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Keshon Gilbert,Milan Momcilovic,game_1
1,15,1,5,31,pbp-team2,5,Curtis Jones,3pt jump shot missed,NA,3,1,331,2131,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
1,15,1,5,26,pbp-team2,3,Tamin Lipsey,Offensive rebound,NA,NA,NA,326,2126,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
1,15,1,5,24,pbp-team2,22,Milan Momcilovic,3pt jump shot missed,NA,3,1,324,2124,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
1,15,1,5,18,pbp-team1,15,Joshua Symonette,Defensive rebound,NA,NA,NA,318,2118,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
1,15,1,5,2,pbp-team1,2,Emmanuel Alexander,2pt jump shot missed,NA,2,1,302,2102,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
1,15,1,4,57,pbp-team1,33,Leonardo Burrows,Offensive rebound,NA,NA,NA,297,2097,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,15,1,4,56,pbp-team1,30,Michael Johnson,3pt jump shot made LUCAYANS BASKETBALL - trail by 11,Leonardo Burrows,3,1,296,2096,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,40,pbp-team2,5,Curtis Jones,3pt jump shot made IOWA STATE UNIVERSITY - lead by 14,Jackson Paveletzke,3,1,280,2080,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,17,pbp-team1,6,Lamont Mcphee,2pt jump shot missed,NA,2,1,257,2057,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team1,33,Leonardo Burrows,Offensive rebound,NA,NA,NA,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team1,33,Leonardo Burrows,2pt lay up missed,NA,2,1,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team1,33,Leonardo Burrows,Offensive rebound,NA,NA,NA,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team2,22,Milan Momcilovic,Personal foul,NA,NA,NA,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team1,33,Leonardo Burrows,Foul drawn,NA,NA,NA,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team1,33,Leonardo Burrows,Free throw 1 of 2 missed,NA,NA,1,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team1,NA,NA,Offensive Dead Ball Rebound,NA,NA,NA,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team1,33,Leonardo Burrows,Free throw 2 of 2 missed,NA,NA,1,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,4,10,pbp-team2,22,Milan Momcilovic,Defensive rebound,NA,NA,NA,250,2050,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,56,pbp-team2,5,Curtis Jones,Turnover - bad pass,NA,NA,NA,236,2036,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,56,pbp-team1,33,Leonardo Burrows,Steal,NA,NA,NA,236,2036,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,42,pbp-team1,33,Leonardo Burrows,Turnover - bad pass,NA,NA,NA,222,2022,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,42,pbp-team2,22,Milan Momcilovic,Steal,NA,NA,NA,222,2022,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,37,pbp-team2,22,Milan Momcilovic,2pt jump shot missed,NA,2,1,217,2017,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,34,pbp-team1,30,Michael Johnson,Defensive rebound,NA,NA,NA,214,2014,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,23,pbp-team1,2,Emmanuel Alexander,2pt jump shot missed,NA,2,1,203,2003,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,23,pbp-team2,24,Hason Ward,Block,NA,NA,NA,203,2003,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,17,pbp-team1,15,Joshua Symonette,Offensive rebound,NA,NA,NA,197,1997,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,16,pbp-team1,15,Joshua Symonette,2pt jump shot missed,NA,2,1,196,1996,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,16,pbp-team2,24,Hason Ward,Block,NA,NA,NA,196,1996,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,12,pbp-team2,24,Hason Ward,Defensive rebound,NA,NA,NA,192,1992,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,9,pbp-team2,5,Curtis Jones,3pt jump shot missed,NA,3,1,189,1989,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,3,0,pbp-team1,2,Emmanuel Alexander,Defensive rebound,NA,NA,NA,180,1980,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,2,52,pbp-team2,24,Hason Ward,Personal foul,NA,NA,NA,172,1972,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
4,18,1,2,52,pbp-team1,33,Leonardo Burrows,Foul drawn,NA,NA,NA,172,1972,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
5,18,1,2,52,pbp-team1,33,Leonardo Burrows,Free throw 1 of 2 made LUCAYANS BASKETBALL - trail by 13,NA,NA,1,172,1972,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
6,18,1,2,52,pbp-team1,33,Leonardo Burrows,Free throw 2 of 2 made LUCAYANS BASKETBALL - trail by 12,NA,NA,1,172,1972,Emmanuel Alexander,Joshua Symonette,Lamont Mcphee,Leonardo Burrows,Michael Johnson,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Tamin Lipsey,game_1
6,20,1,2,39,pbp-team2,24,Hason Ward,2pt floating jump shot made IOWA STATE UNIVERSITY - lead by 14,Jackson Paveletzke,2,1,159,1959,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Omaha Biliew,game_1
6,20,1,2,23,pbp-team1,30,Michael Johnson,3pt jump shot missed,NA,3,1,143,1943,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Omaha Biliew,game_1
6,20,1,2,18,pbp-team2,1,Jackson Paveletzke,Defensive rebound,NA,NA,NA,138,1938,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Omaha Biliew,game_1
6,23,1,2,13,pbp-team2,22,Milan Momcilovic,3pt jump shot made IOWA STATE UNIVERSITY - lead by 17,Jackson Paveletzke,3,1,133,1933,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Omaha Biliew,game_1
8,23,1,1,57,pbp-team1,30,Michael Johnson,2pt jump shot made LUCAYANS BASKETBALL - trail by 15,NA,2,1,117,1917,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Omaha Biliew,game_1
8,23,1,1,42,pbp-team2,24,Hason Ward,Turnover - out of bounds,NA,NA,NA,102,1902,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Hason Ward,Jackson Paveletzke,Milan Momcilovic,Omaha Biliew,game_1
8,23,1,1,37,pbp-team2,5,Curtis Jones,Personal foul,NA,NA,NA,97,1897,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
8,23,1,1,37,pbp-team1,2,Emmanuel Alexander,Foul drawn,NA,NA,NA,97,1897,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
9,23,1,1,33,pbp-team1,2,Emmanuel Alexander,Free throw 1 of 2 made LUCAYANS BASKETBALL - trail by 14,NA,NA,1,93,1893,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
10,23,1,1,26,pbp-team1,2,Emmanuel Alexander,Free throw 2 of 2 made LUCAYANS BASKETBALL - trail by 13,NA,NA,1,86,1886,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
10,23,1,0,51,pbp-team2,0,Tre King,2pt jump shot missed,NA,2,1,51,1851,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
10,23,1,0,51,pbp-team1,1,Quinton Rolle,Block,NA,NA,NA,51,1851,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
10,23,1,0,46,pbp-team2,0,Tre King,Offensive rebound,NA,NA,NA,46,1846,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
10,23,1,0,46,pbp-team1,NA,NA,Jump ball - held ball,NA,NA,NA,46,1846,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
10,23,1,0,46,pbp-team2,0,Tre King,Turnover - ball handling,NA,NA,NA,46,1846,Emmanuel Alexander,Leonardo Burrows,Michael Johnson,Quinton Rolle,Theon Missick,Curtis Jones,Jackson Paveletzke,Omaha Biliew,Robert Jones,Tre King,game_1
